id,x,y,deg
001_0,s-89.392759,s-89.723136,s48.756830
002_0,s-89.392759,s-89.723136,s48.756830
002_1,s-89.335352,s-89.571837,s45.287752
003_0,s-89.392759,s-89.723136,s48.756830
003_1,s-89.335352,s-89.571837,s45.287752
003_2,s-89.064634,s-89.670307,s34.704239
004_0,s-89.392759,s-89.723136,s48.756830
004_1,s-89.335352,s-89.571837,s45.287752
004_2,s-89.064634,s-89.670307,s34.704239
004_3,s-89.047760,s-89.377159,s89.208339
005_0,s-89.392759,s-89.723136,s48.756830
005_1,s-89.335352,s-89.571837,s45.287752
005_2,s-89.064634,s-89.670307,s34.704239
005_3,s-89.047760,s-89.377159,s89.208339
005_4,s-89.125071,s-89.157020,s75.584270
006_0,s-89.392759,s-89.723136,s48.756830
006_1,s-89.335352,s-89.571837,s45.287752
006_2,s-89.064634,s-89.670307,s34.704239
006_3,s-89.047760,s-89.377159,s89.208339
006_4,s-89.125071,s-89.157020,s75.584270
006_5,s-89.500529,s-88.985425,s8.983021
007_0,s-89.392759,s-89.723136,s48.756830
007_1,s-89.335352,s-89.571837,s45.287752
007_2,s-89.064634,s-89.670307,s34.704239
007_3,s-89.047760,s-89.377159,s89.208339
007_4,s-89.125071,s-89.157020,s75.584270
007_5,s-89.500529,s-88.985425,s8.983021
007_6,s-89.087002,s-89.137529,s128.632674
008_0,s-89.392759,s-89.723136,s48.756830
008_1,s-89.335352,s-89.571837,s45.287752
008_2,s-89.064634,s-89.670307,s34.704239
008_3,s-89.047760,s-89.377159,s89.208339
008_4,s-89.125071,s-89.157020,s75.584270
008_5,s-89.500529,s-88.985425,s8.983021
008_6,s-89.087002,s-89.137529,s128.632674
008_7,s-89.102787,s-88.979186,s197.131997
009_0,s-89.392759,s-89.723136,s48.756830
009_1,s-89.335352,s-89.571837,s45.287752
009_2,s-89.064634,s-89.670307,s34.704239
009_3,s-89.047760,s-89.377159,s89.208339
009_4,s-89.125071,s-89.157020,s75.584270
009_5,s-89.500529,s-88.985425,s8.983021
009_6,s-89.087002,s-89.137529,s128.632674
009_7,s-89.102787,s-88.979186,s197.131997
009_8,s-89.649502,s-89.649818,s322.409664
010_0,s-89.392759,s-89.723136,s48.756830
010_1,s-89.335352,s-89.571837,s45.287752
010_2,s-89.064634,s-89.670307,s34.704239
010_3,s-89.047760,s-89.377159,s89.208339
010_4,s-89.125071,s-89.157020,s75.584270
010_5,s-89.500529,s-88.985425,s8.983021
010_6,s-89.087002,s-89.137529,s128.632674
010_7,s-89.102787,s-88.979186,s197.131997
010_8,s-89.649502,s-89.649818,s322.409664
010_9,s-89.294332,s-88.628464,s160.292823
011_0,s-89.392759,s-89.723136,s48.756830
011_1,s-89.335352,s-89.571837,s45.287752
011_2,s-89.064634,s-89.670307,s34.704239
011_3,s-89.047760,s-89.377159,s89.208339
011_4,s-89.125071,s-89.157020,s75.584270
011_5,s-89.500529,s-88.985425,s8.983021
011_6,s-89.087002,s-89.137529,s128.632674
011_7,s-89.102787,s-88.979186,s197.131997
011_8,s-89.649502,s-89.649818,s322.409664
011_9,s-89.294332,s-88.628464,s160.292823
011_10,s-89.487210,s-88.391777,s331.126388
012_0,s-89.392759,s-89.723136,s48.756830
012_1,s-89.335352,s-89.571837,s45.287752
012_2,s-89.064634,s-89.670307,s34.704239
012_3,s-89.047760,s-89.377159,s89.208339
012_4,s-89.125071,s-89.157020,s75.584270
012_5,s-89.500529,s-88.985425,s8.983021
012_6,s-89.087002,s-89.137529,s128.632674
