id,x,y,deg
001_0,s-89.684788,s-89.502824,s224.999506
002_0,s-89.339117,s-89.470526,s44.999031
002_1,s-89.834804,s-89.858198,s11.608137
003_0,s-89.490239,s-89.524201,s44.998469
003_1,s-90.095695,s-89.799321,s15.486047
003_2,s-89.441050,s-89.935740,s112.202907
004_0,s-89.339117,s-89.470526,s44.999031
004_1,s-89.834804,s-89.858198,s11.608137
004_2,s-89.127033,s-89.984526,s337.574568
004_3,s-88.956971,s-88.959847,s77.861939
005_0,s-89.490239,s-89.524201,s44.998469
005_1,s-90.095695,s-89.799321,s15.486047
005_2,s-89.441050,s-89.935740,s112.202907
005_3,s-89.093702,s-89.007464,s77.376261
005_4,s-89.047714,s-89.685732,s335.639307
006_0,s-89.490239,s-89.524201,s44.998469
006_1,s-90.095695,s-89.799321,s15.486047
006_2,s-89.441050,s-89.935740,s112.202907
006_3,s-89.093702,s-89.007464,s77.376261
006_4,s-89.071448,s-89.909507,s329.881810
006_5,s-90.333792,s-88.902178,s301.455412
007_0,s-89.490239,s-89.524201,s44.998469
007_1,s-90.095695,s-89.799321,s15.486047
007_2,s-89.441050,s-89.935740,s112.202907
007_3,s-89.093702,s-89.007464,s77.376261
007_4,s-89.071448,s-89.909507,s329.881810
007_5,s-90.333792,s-88.902178,s301.455412
007_6,s-88.845427,s-88.402841,s190.742503
008_0,s-89.490239,s-89.524201,s44.998469
008_1,s-90.095695,s-89.799321,s15.486047
008_2,s-89.441050,s-89.935740,s112.202907
008_3,s-89.093702,s-89.007464,s77.376261
008_4,s-89.071448,s-89.909507,s329.881810
008_5,s-90.333792,s-88.902178,s301.455412
008_6,s-88.860303,s-88.341907,s213.295591
008_7,s-89.276070,s-88.359577,s76.930400
009_0,s-89.490239,s-89.524201,s44.998469
009_1,s-90.095695,s-89.799321,s15.486047
009_2,s-89.441050,s-89.935740,s112.202907
009_3,s-89.093702,s-89.007464,s77.376261
009_4,s-89.071448,s-89.909507,s329.881810
009_5,s-90.333792,s-88.902178,s301.455412
009_6,s-88.860303,s-88.341907,s213.295591
009_7,s-89.276070,s-88.359577,s76.930400
009_8,s-88.443349,s-89.776022,s335.877390
010_0,s-89.490239,s-89.524201,s44.998469
010_1,s-90.095695,s-89.799321,s15.486047
010_2,s-89.441050,s-89.935740,s112.202907
010_3,s-89.093702,s-89.007464,s77.376261
010_4,s-89.071448,s-89.909507,s329.881810
010_5,s-90.333792,s-88.902178,s301.455412
010_6,s-88.860303,s-88.341907,s213.295591
010_7,s-89.276070,s-88.359577,s76.930400
010_8,s-88.443349,s-89.776022,s335.877390
010_9,s-88.186545,s-88.038888,s78.089573
011_0,s-89.490239,s-89.524201,s44.998469
011_1,s-90.095695,s-89.799321,s15.486047
011_2,s-89.441050,s-89.935740,s112.202907
011_3,s-89.093702,s-89.007464,s77.376261
011_4,s-89.071448,s-89.909507,s329.881810
011_5,s-90.333792,s-88.902178,s301.455412
011_6,s-88.860303,s-88.341907,s213.295591
011_7,s-89.276070,s-88.359577,s76.930400
011_8,s-88.383412,s-89.648538,s197.227256
011_9,s-88.200720,s-88.098606,s66.949109
011_10,s-88.184603,s-89.345041,s356.495137
012_0,s-89.490239,s-89.524201,s44.998469
012_1,s-90.095695,s-89.799321,s15.486047
012_2,s-89.441050,s-89.935740,s112.202907
012_3,s-89.093702,s-89.007464,s77.376261
012_4,s-89.071448,s-89.909507,s329.881810
012_5,s-90.333792,s-88.902178,s301.455412
012_6,s-88.860303,s-88.341907,s213.295591
012_7,s-89.276070,s-88.359577,s76.930400
012_8,s-88.443349,s-89.776022,s335.877390
012_9,s-88.186545,s-88.038888,s78.089573
012_10,s-89.494127,s-87.832073,s66.057164
012_11,s-88.098899,s-88.597985,s332.789258
013_0,s-89.490239,s-89.524201,s44.998469
013_1,s-90.095695,s-89.799321,s15.486047
013_2,s-89.441050,s-89.935740,s112.202907
013_3,s-89.093702,s-89.007464,s77.376261
013_4,s-89.071448,s-89.909507,s329.881810
013_5,s-90.333792,s-88.902178,s301.455412
013_6,s-88.860303,s-88.341907,s213.295591
013_7,s-89.276070,s-88.359577,s76.930400
013_8,s-88.443349,s-89.776022,s335.877390
013_9,s-88.186545,s-88.038888,s78.089573
013_10,s-89.494127,s-87.832073,s66.057164
013_11,s-88.098899,s-88.597985,s332.789258
013_12,s-90.165824,s-88.195651,s25.234457
014_0,s-89.490239,s-89.524201,s44.998469
014_1,s-90.095695,s-89.799321,s15.486047
014_2,s-89.441050,s-89.935740,s112.202907
014_3,s-89.093702,s-89.007464,s77.376261
014_4,s-89.071448,s-89.909507,s329.881810
014_5,s-90.333792,s-88.902178,s301.455412
014_6,s-88.860303,s-88.341907,s213.295591
014_7,s-89.276070,s-88.359577,s76.930400
014_8,s-88.443349,s-89.776022,s335.877390
014_9,s-88.186545,s-88.038888,s78.089573
014_10,s-89.494127,s-87.832073,s66.057164
014_11,s-88.098899,s-88.597985,s332.789258
014_12,s-90.165824,s-88.195651,s25.234457
014_13,s-87.877776,s-89.780886,s342.647919
015_0,s-89.490239,s-89.524201,s44.998469
015_1,s-90.095695,s-89.799321,s15.486047
015_2,s-89.441050,s-89.935740,s112.202907
015_3,s-89.093702,s-89.007464,s77.376261
015_4,s-89.071448,s-89.909507,s329.881810
015_5,s-90.333792,s-88.902178,s301.455412
015_6,s-88.860303,s-88.341907,s213.295591
015_7,s-89.276070,s-88.359577,s76.930400
015_8,s-88.443349,s-89.776022,s335.877390
015_9,s-88.186545,s-88.038888,s78.089573
015_10,s-89.494127,s-87.832073,s66.057164
015_11,s-88.098899,s-88.597985,s332.789258
015_12,s-90.165824,s-88.195651,s25.234457
015_13,s-87.877776,s-89.780886,s342.647919
015_14,s-88.785673,s-87.522757,s68.308470
016_0,s-89.490239,s-89.524201,s44.998469
016_1,s-90.095695,s-89.799321,s15.486047
016_2,s-89.441050,s-89.935740,s112.202907
016_3,s-89.093702,s-89.007464,s77.376261
016_4,s-89.071448,s-89.909507,s329.881810
016_5,s-90.333792,s-88.902178,s301.455412
016_6,s-88.860303,s-88.341907,s213.295591
016_7,s-89.276070,s-88.359577,s76.930400
016_8,s-88.443349,s-89.776022,s335.877390
016_9,s-88.186545,s-88.038888,s78.089573
016_10,s-89.494127,s-87.832073,s66.057164
016_11,s-88.098899,s-88.597985,s332.789258
016_12,s-90.165824,s-88.195651,s25.234457
016_13,s-87.877776,s-89.780886,s342.647919
016_14,s-88.785673,s-87.522757,s68.308470
016_15,s-87.685600,s-87.567910,s70.216315
017_0,s-89.490239,s-89.524201,s44.998469
017_1,s-90.095695,s-89.799321,s15.486047
017_2,s-89.441050,s-89.935740,s112.202907
017_3,s-89.093702,s-89.007464,s77.376261
017_4,s-89.071448,s-89.909507,s329.881810
017_5,s-90.333792,s-88.902178,s301.455412
017_6,s-88.860303,s-88.341907,s213.295591
017_7,s-89.276070,s-88.359577,s76.930400
017_8,s-88.443349,s-89.776022,s335.877390
017_9,s-88.186545,s-88.038888,s78.089573
017_10,s-89.494127,s-87.832073,s66.057164
017_11,s-88.098899,s-88.597985,s332.789258
017_12,s-90.165824,s-88.195651,s25.234457
017_13,s-87.877776,s-89.780886,s342.647919
017_14,s-88.785673,s-87.522757,s68.308470
017_15,s-88.136932,s-87.385772,s227.500361
017_16,s-87.390720,s-87.422528,s46.150938
018_0,s-89.490239,s-89.524201,s44.998469
018_1,s-90.095695,s-89.799321,s15.486047
018_2,s-89.441050,s-89.935740,s112.202907
